"","ph","Hardness","Solids","Chloramines","Sulphate","Conductivity","Organic_carbon","Trihalomethanes","Turbidity","Potability"
"1210",0.559195722,0.468985358,0.542081727,0.398182108,0.448803632,0.189967954,0.140687408,0.608268773,0.708914093,1
"1103.1",0.532712845,0.493410434,0.236634423,0.557594784,0.587074024,0.526621941,0.259128501,0.663978666,0.576239515,1
"1592",0.565577649,0.463942514,0.480160359,0.554221489,0.579703927,0.246651189,0.349013221,0.562855917,0.603146721,1
"1318",0.483646449,0.533940492,0.252823809,0.500535719,0.596543453,0.455088927,0.792759035,0.60630872,0.339358448,0
"2070",0.531863504,0.477760821,0.286380583,0.745558908,0.566595626,0.319397723,0.413122263,0.391955677,0.283353647,0
"1940.1",0.525922348,0.484003165,0.330178971,0.494151575,0.579703927,0.447498129,0.286404853,0.554080848,0.340223081,1
"332",0.50262515,0.420006624,0.299630033,0.607228639,0.47493099,0.493579761,0.563224061,0.491731693,0.507798323,1
"2105",0.50262515,0.429131891,0.321779471,0.5421645,0.633368312,0.417300445,0.596783655,0.367220558,0.374001877,0
"1725",0.542516337,0.511227318,0.534403776,0.500476588,0.67098901,0.253809788,0.447637125,0.589802376,0.387143905,0
"1755",0.369596143,0.677917999,0.187594283,0.517359326,0.528325601,0.394535368,0.443359386,0.287562557,0.423358856,0
"2063",0.518423643,0.509023191,0.394596469,0.53575372,0.579703927,0.288197037,0.333063323,0.493446205,0.53260022,0
"105",0.186573994,0.512790091,0.566071759,0.504457077,0.579703927,0.501166511,0.420335755,0.395789213,0.626811376,0
"2310.3",0.572773686,0.545367975,0.374076166,0.729773812,0.550902464,0.374663907,0.426733639,0.552580715,0.328696792,1
"565",0.50262515,0.588823839,0.444319347,0.554231878,0.553803017,0.209350835,0.450985915,0.502998443,0.501690104,0
"1908.2",0.526427759,0.685709853,0.306658236,0.552049669,0.655995638,0.307038082,0.606142954,0.46675583,0.38076242,1
"2701",0.508398476,0.503343153,0.512394119,0.472409958,0.586167384,0.348153229,0.646513238,0.609799226,0.545169548,0
"1435",0.523035861,0.539269539,0.315459874,0.493867509,0.479621263,0.413724034,0.573247804,0.55758757,0.289591452,0
"650",0.497442736,0.530741842,0.444741799,0.769675507,0.507610704,0.212389256,0.524507647,0.627433743,0.178801887,0
"1702",0.432471941,0.655681075,0.162460655,0.440859036,0.505060754,0.454683423,0.57582948,0.524104856,0.650248319,0
"1867",0.494475169,0.501962295,0.235800471,0.746366443,0.602408934,0.663282449,0.776479984,0.516439959,0.269872238,0
"1553",0.566647692,0.570536256,0.203787705,0.576531252,0.574061325,0.469000071,0.51607771,0.443494992,0.583141056,1
