"","ph","Hardness","Solids","Chloramines","Sulphate","Conductivity","Organic_carbon","Trihalomethanes","Turbidity","Potability"
"3183",0.474719091,0.54332395,0.271605873,0.504260607,0.579703927,0.566244904,0.55602938,0.364446608,0.303267748,1
"3231",0.618508073,0.244387136,0.380809732,0.656228207,0.579572288,0.239844013,0.550156179,0.422907085,0.27335494,1
"2449",0.463296619,0.643389926,0.434867939,0.228257072,0.539936968,0.352177962,0.32433066,0.511022801,0.339722879,1
"601",0.50262515,0.673171995,0.439202455,0.459407941,0.480391832,0.307131495,0.558197134,0.410072857,0.535995203,0
"874",0.710996579,0.672913983,0.056682826,0.75364772,0.579703927,0.276990153,0.618528361,0.662905048,0.492135577,0
"1564",0.50262515,0.537226205,0.062744894,0.746826101,0.947287466,0.444050982,0.522837073,0.534507676,0.408946637,1
"878",0.363573952,0.460058172,0.554509803,0.500188606,0.703528552,0.603081194,0.571171001,0.387858849,0.640737811,0
"1709",0.425161998,0.32448722,0.45619326,0.546298051,0.740872285,0.424021128,0.504742523,0.553550916,0.627674092,0
"1688",0.569589173,0.458188035,0.435549484,0.446460567,0.593529246,0.290743603,0.442818546,0.606816125,0.330108575,0
"1068",0.499585334,0.613849218,0.37280971,0.739282184,0.719121994,0.328725022,0.642423702,0.477953653,0.557553547,0
"2266",0.50262515,0.636756343,0.524023414,0.436215954,0.589871101,0.603806896,0.292813534,0.620661552,0.48338657,0
"1099",0.421139213,0.506803304,0.604163132,0.332581602,0.35269222,0.611488897,0.352880596,0.621023111,0.417782751,1
"1751",0.510436945,0.486058425,0.540923586,0.628550898,0.693681505,0.530944747,0.508428362,0.422473524,0.628701403,0
"4",0.594054706,0.605535866,0.356243795,0.603313689,0.647347441,0.317880465,0.622089061,0.808064727,0.601015416,0
"1234",0.372429228,0.5267358,0.555991608,0.425155177,0.437376353,0.347891189,0.523668611,0.647080998,0.567881557,0
"2147",0.406396739,0.56197758,0.281953114,0.40456797,0.727770042,0.520677594,0.746857232,0.534507676,0.431493716,0
"487",0.619656621,0.556069604,0.241824784,0.648014138,0.647118284,0.454332964,0.59973386,0.59911823,0.667153594,0
"1985",0.552348577,0.51534978,0.766781745,0.616416814,0.449071853,0.67540883,0.489657242,0.571694514,0.389625261,1
"351",0.654174655,0.505059897,0.254096861,0.610495551,0.581802375,0.427147813,0.382476585,0.907698504,0.581440108,1
"2046",0.47252501,0.478101147,0.428066406,0.701147556,0.579703927,0.550625034,0.405616681,0.628939727,0.567865998,1
"672",0.50262515,0.538298437,0.233846924,0.701681162,0.579703927,0.189167011,0.267601561,0.395921859,0.474004861,1
"1145",0.410321726,0.582672155,0.314199213,0.496434394,0.579703927,0.315775004,0.513552845,0.66184107,0.393930828,1
"1512",0.456637703,0.405296222,0.343088186,0.387231097,0.534773868,0.216416766,0.561894751,0.498258826,0.344363558,1
"992",0.454582548,0.529848174,0.37167066,0.49492251,0.579703927,0.438413424,0.539150382,0.517911857,0.626661381,0
"1086",0.50262515,0.517922782,0.373917759,0.479842326,0.481083567,0.408152064,0.431486377,0.40691562,0.288721384,1
"1723",0.540465509,0.572974848,0.500815371,0.584315933,0.639648784,0.373892116,0.37912841,0.51134739,0.345082631,0
"1617",0.53531365,0.57222809,0.406152344,0.511127901,0.565147952,0.230140291,0.551305442,0.586058489,0.402656804,1
"1346",0.642821353,0.679756674,0.338431097,0.597139007,0.670569369,0.459192431,0.381944969,0.435387253,0.424481765,0
"2094",0.50262515,0.60496518,0.307123311,0.57007625,0.579703927,0.419083342,0.560373149,0.599466426,0.47965255,0
"1521",0.50262515,0.606813778,0.341053236,0.549080016,0.460991891,0.625194061,0.477787188,0.499112648,0.404471854,1
"77",0.251038966,0.403711663,0.372847117,0.506432806,0.447469134,0.220151152,0.287824977,0.641827397,0.437250015,0
"1588",0.467110438,0.609423576,0.470539943,0.521594155,0.520794073,0.427727433,0.603448297,0.440085978,0.496578424,1
"1288",0.50262515,0.576318292,0.302617975,0.614516871,0.612417223,0.575323993,0.121163636,0.496287291,0.348563553,0
"1008",0.50262515,0.680370115,0.058778386,0.515595266,0.448157298,0.65052813,0.65969399,0.682365528,0.495621795,0
"2581",0.424725771,0.519128492,0.20435855,0.672230775,0.55319851,0.556874724,0.391395777,0.432879406,0.652983944,0
"1466",0.380709915,0.539016813,0.388787345,0.420945198,0.585438587,0.577452678,0.627896193,0.549399145,0.822333589,0
"3043",0.352364724,0.416233992,0.450694896,0.579702671,0.536701605,0.545274951,0.462135745,0.619851242,0,0
"286",0.277330792,0.712301952,0.122004991,0.013960962,0.579703927,0.279452452,0.413432643,0.481672924,0.431839929,1
"2342",0.390597209,0.48224237,0.196777213,0.398791604,0.799530605,0.362435139,0.396670251,0.485873572,0.658625061,1
"539",0.599599815,0.508579906,0.168819371,0.586165206,0.635841353,0.340568982,0.428154452,0.472262349,0.261656538,0
"1071",0.50262515,0.525304187,0.352043843,0.540715322,0.575659145,0.377329241,0.615372144,0.367052491,0.547325571,1
"1777",0.643677172,0.437034523,0.567173535,0.218203731,0.771784446,0.356601719,0.55073525,0.403924577,0.533333596,0
"885",0.385942607,0.501325837,0.446406556,0.618832656,0.579703927,0.709781666,0.299771616,0.508344014,0.457830046,0
