ph,Hardness,Solids,Chloramines,Sulphate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
0.50262515,0.571139008,0.336096463,0.54389134,0.680385207,0.669439478,0.313401651,0.699753131,0.285498204,0
0.265434291,0.297400434,0.300611419,0.491839208,0.579703927,0.719411082,0.49731851,0.450999305,0.57679264,0
0.578508871,0.641310808,0.321618849,0.698542748,0.579703927,0.414652064,0.562016741,0.532865705,0.303636557,0
0.594054706,0.605535866,0.356243795,0.603313689,0.647347441,0.317880465,0.622089061,0.808064727,0.601015416,0
0.649444533,0.484850881,0.289921687,0.484900194,0.514545371,0.379336708,0.358554768,0.253606081,0.496327363,0
0.398863331,0.511009836,0.466745918,0.563042567,0.561537375,0.173091943,0.237537726,0.439550404,0.209814375,0
0.730275869,0.727767709,0.466762809,0.560579919,0.751819199,0.178659256,0.444049629,0.680384516,0.231232508,0
0.616846337,0.565593208,0.219208183,0.32962886,0.495155109,0.512580828,0.389418264,0.503482898,0.558030765,0
0.50262515,0.259552613,0.229280911,0.583340396,0.396689731,0.363536922,0.402530612,0.431526714,0.405561955,0
0.798591748,0.652175142,0.413152418,0.682990217,0.781300267,0.668699483,0.602597947,0.577944549,0.552195488,0
0.525760008,0.428335959,0.527559487,0.563499093,0.561383953,0.426503251,0.512904615,0.632814782,0.418281676,0
0.569608689,0.621205187,0.302870609,0.607309941,0.579703927,0.31933487,0.472250793,0.614527682,0.48434829,0
0.508558885,0.396358956,0.302265695,0.254719068,0.435598587,0.290685838,0.526035859,0.638986698,0.377340938,0
0.50262515,0.37267285,0.443475306,0.507727865,0.484093601,0.346725552,0.657885333,0.614723074,0.560403514,0
0.535445158,0.572787684,0.460823983,0.369515286,0.579703927,0.46018627,0.422540655,0.564344345,0.629113696,0
0.453376554,0.505277196,0.668967304,0.726230628,0.668940879,0.586262709,0.357846023,0.603053798,0.553289524,0
0.503698986,0.593478977,0.503390973,0.76264548,0.579703927,0.23372465,0.697203902,0.453615906,0.532885018,0
0.655825715,0.821140282,0.389457278,0.512954186,0.765133725,0.518468639,0.428633746,0.573732068,0.57736071,0
0.641104596,0.841247359,0.314244506,0.458107308,0.579703927,0.437101269,0.409530998,0.51178171,0.186440838,0
0.526503593,0.605982801,0.415546451,0.319426168,0.587319437,0.504374094,0.394987124,0.503474527,0.209926101,0
0.50262515,0.652913572,0.360958417,0.781363436,0.579703927,0.652846978,0.541444187,0.362194473,0.507359169,0
0.47572943,0.43835783,0.502796006,0.431058249,0.51680404,0.598377614,0.600928551,0.6190417,0.434808327,0
0.50262515,0.611355639,0.275608508,0.411355026,0.562291897,0.44551629,0.459351043,0.47960828,0.758035726,0
0.278748263,0.542167516,0.342272859,0.520102668,0.579703927,0.459895167,0.552070236,0.725638687,0.582061391,0
0.385735842,0.338446753,0.278225139,0.759675341,0.56630934,0.509549361,0.346987784,0.455889945,0.638076459,0
0.465315364,0.548929063,0.343113541,0.6511888,0.552782416,0.405356479,0.486590022,0.641802363,0.709186061,0
0.246075847,0.582150589,0.543520972,0.659894128,0.724388662,0.455185951,0.444670583,0.239705645,0.516996969,0
0.50262515,0.356688553,0.211866472,0.591345966,0.497121477,0.205482366,0.403430066,0.395895319,0.483053721,0
0.50262515,0.794324892,0.427575511,0.575190878,0.756722451,0.32000265,0.312220336,0.424059169,0.480537767,0
0.50262515,0.365339079,0.24418627,0.680613128,0.5056713,0.668558297,0.550523202,0.421364127,0.867495737,0
0.512960613,0.588314498,0.244232514,0.441696959,0.594654004,0.28088667,0.219256641,0.574385887,0.688005292,0
0.701820708,0.519872243,0.317815475,0.50141219,0.579703927,0.474509529,0.563181525,0.375979387,0.266113145,0
0.74523507,0.255209544,0.361308539,0.611311531,0.507647594,0.40482555,0.409605692,0.527295342,0.682040181,0
0.529582014,0.680514975,0.52925452,0.508332839,0.733388761,0.4030708,0.308230462,0.354945541,0.323430605,0
0.50262515,0.670488995,0.237516886,0.401010946,0.579703927,0.3541048,0.381874987,0.692368512,0.676718987,0
0.365415505,0.524210869,0.316873911,0.446865988,0.553464274,0.455120382,0.335880695,0.393472695,0.463620489,0
0.260116413,0.495033306,0.401126789,0.405973709,0.446153082,0.481545987,0.261841638,0.591071512,0.380857068,0
0.401290315,0.931488444,0.278477687,0.450026106,0.579703927,0.381191629,0.385632244,0.655927962,0.273501029,0
0.50262515,0.348293499,0.322156257,0.433562003,0.579703927,0.429558642,0.776624214,0.424997925,0.275584026,0
0.661941967,0.548374254,0.400004591,0.450772009,0.565511945,0.376654465,0.546818749,0.240506519,0.543392824,0
0.50262515,0.676214746,0.186893474,0.332476551,0.511430821,0.293631678,0.618348374,0.34024651,0.389488381,0
0.380852891,0.534807196,0.268247232,0.598186267,0.533121664,0.268661821,0.305766812,0.477314288,0.564344915,0
0.510412253,0.69373768,0.467265613,0.505833949,0.729980915,0.263262426,0.34073423,0.530577508,0.705727114,0
0.70862079,0.563619848,0.158489333,0.511174036,0.59185339,0.265290485,0.832092002,0.576784605,0.61272589,0
0.33988853,0.493004709,0.348855577,0.342806183,0.579703927,0.389012792,0.630966646,0.536859697,0.584761101,0
0.407351856,0.61452082,0.579341128,0.534822003,0.579703927,0.565094861,0.534129886,0.623048332,0.508175272,0
0.496704588,0.588360536,0.168361098,0.321777475,0.530086225,0.366699852,0.424725438,0.70299759,0.330064346,0
0.763069031,0.456826815,0.253468193,0.408515348,0.506639378,0.248879868,0.302332174,0.630646789,0.482090259,0
0.50262515,0.299096718,0.559793266,0.467313424,0.498636207,0.505099128,0.628329882,0.581408981,0.558817546,0
0.625518386,0.554094426,0.348326828,0.357189906,0.536552441,0.390365628,0.443230778,0.382866349,0.411445536,0
0.50262515,0.438737543,0.446117815,0.524009769,0.485243207,0.353778315,0.53571136,0.608390533,0.302147329,0
0.55783085,0.19233643,0.191977135,0.380455155,0.335768572,0.740980679,0.283959722,0.530140462,0.188588479,0
0.475177721,0.353939077,0.32099899,0.360787975,0.451813486,0.637379713,0.334943458,0.575922945,0.433369337,0
0.653371218,0.59589013,0.190451187,0.538457516,0.598674926,0.605438119,0.615912341,0.380465066,0.443284476,0
0.754338903,0.487723132,0.352389241,0.51970724,0.600488574,0.481014923,0.547235072,0.27189279,0.475455918,0
0.534589631,0.771368674,0.497414811,0.706624935,0.579703927,0.390283402,0.526225436,0.534495843,0.629833272,0
0.608629041,0.692450679,0.467254277,0.620806925,0.717691282,0.524316517,0.146219793,0.311151623,0.470902728,0
0.357100987,0.518169008,0.394096204,0.538408151,0.55646587,0.391437016,0.231285728,0.800647279,0.569235003,0
0.50262515,0.400335133,0.273250799,0.624940787,0.485878823,0.313910042,0.407044481,0.575838499,0.558779676,0
0.50262515,0.390376677,0.332253204,0.613332215,0.579703927,0.19007702,0.552576827,0.477714604,0.499131724,0
0.279005597,0.674560143,0.522505581,0.519987446,0.623126006,0.153823439,0.285598682,0.511147506,0.463770034,0
0.456525259,0.600618914,0.338955929,0.393233651,0.564299009,0.328497778,0.442839279,0.139359434,0.467715857,0
0.50262515,0.660351747,0.581364772,0.662140356,0.727049717,0.200947821,0.564256405,0.534507676,0.454831199,0
0.620863715,0.535785365,0.399553342,0.616821944,0.579703927,0.379222352,0.390067846,0.387002684,0.572501465,0
0.577554272,0.291294901,0.5308645,0.483932478,0.579703927,0.41051366,0.341749397,0.629042609,0.495119854,0
0.443141264,0.598039182,0.352905167,0.588805627,0.579703927,0.315854595,0.487854891,0.512208304,0.711985102,0
0.361293491,0.693300424,0.567314356,0.675638054,0.697193582,0.853779423,0.427324959,0.614818839,0.691369971,0
0.50262515,0.20324405,0.444933374,0.631335032,0.579703927,0.532457858,0.350618112,0.54462822,0.599507176,0
0.50262515,0.594027124,0.205390101,0.32486239,0.562341722,0.265530716,0.530465459,0.398828557,0.376203449,0
0.51868218,0.480455683,0.404619127,0.429360978,0.625710506,0.559052322,0.578073306,0.407708835,0.413379501,0
0.511461945,0.492061104,0.105447357,0.270139837,0.422119784,0.431142377,0.29117336,0.724451767,0.460368887,0
0.407483198,0.249798071,0.540217746,0.52434467,0.477453191,0.564640939,0.260606149,0.384620007,0.511917831,0
0.444090938,0.302919431,0.314244255,0.527629194,0.486126068,0.656053405,0.455310665,0.463720163,0.732810256,0
0.619995355,0.706573522,0.372098218,0.560999191,0.579703927,0.299827185,0.632352838,0.561161611,0.458209548,0
0.50262515,0.623409146,0.238703302,0.410671371,0.611998979,0.426206247,0.519993654,0.39439569,0.606147967,0
0.492665867,0.594606179,0.415882337,0.502075139,0.579703927,0.352413101,0.449608737,0.728410458,0.675512125,0
0.251038966,0.403711663,0.372847117,0.506432806,0.447469134,0.220151152,0.287824977,0.641827397,0.437250015,0
0.265892892,0.421512945,0.618019058,0.495700217,0.561581846,0.500261928,0.473841719,0.404341801,0.418384899,0
0.461071771,0.468827434,0.39646349,0.4230865,0.527793822,0.51778089,0.538141929,0.462362479,0.159468974,0
0.522628911,0.61695973,0.518542111,0.744661253,0.704307928,0.42743002,0.260258784,0.557927178,0.38917993,0
0.13175274,0.675871417,0.465775706,0.577098419,0.579703927,0.400279726,0.513864341,0.434533304,0.673749925,0
0.394223261,0.439971356,0.200482851,0.577590837,0.579703927,0.45830647,0.60916008,0.534507676,0.436565676,0
0.529213248,0.57139761,0.151793603,0.481716097,0.51828631,0.564234044,0.35755341,0.652017148,0.439103976,0
0.426912116,0.767235654,0.442434688,0.571162374,0.723394846,0.581673532,0.385317634,0.663073765,0.292053525,0
0.456811367,0.313401292,0.38594284,0.373835371,0.391751205,0.685337877,0.292485616,0.764944665,0.518286541,0
0.443545876,0.536779163,0.210089513,0.589224867,0.579703927,0.412265886,0.203358709,0.56634962,0.408871169,0
0.483059466,0.669744413,0.440651661,0.589666588,0.629051185,0.496503661,0.446895206,0.519821659,0.65543187,0
0.70847979,0.550430376,0.347244076,0.504723398,0.568639218,0.435464007,0.527434595,0.47503913,0.365949791,0
0.725388584,0.917184669,0.202465587,0.49339541,0.765978166,0.535054006,0.273855708,0.545032441,0.671670875,0
0.622980479,0.576504514,0.464436866,0.467588446,0.705633284,0.569116994,0.435009617,0.337845272,0.208929269,0
0.50262515,0.546072366,0.276365112,0.571992481,0.56892864,0.688335819,0.370535689,0.554687054,0.554721462,0
0.50262515,0.550164262,0.482724965,0.510191015,0.64853224,0.418330206,0.269219106,0.442604235,0.360212638,0
0.43568905,0.690944702,0.329948031,0.634507295,0.579703927,0.191692547,0.654025067,0.749622832,0.325730718,0
0.644770551,0.746431069,0.453879988,0.488170205,0.694693035,0.711427104,0.534319236,0.47367762,0.107589718,0
0.4966694,0.56481344,0.18533674,0.402640912,0.497920272,0.646417509,0.275393919,0.447988882,0.416310419,0
0.438634111,0.545696247,0.432910094,0.566355884,0.568790977,0.641048044,0.522464759,0.328776491,0.73916814,0
0.505562429,0.628377101,0.386699793,0.456347524,0.605024701,0.265042725,0.324206856,0.726580538,0.626679574,0
0.392022451,0.320540174,0.347488302,0.613339788,0.430653666,0.454390758,0.485067536,0.710270364,0.683831778,0
0.514682798,0.264409614,0.399087509,0.457962374,0.456689496,0.414349676,0.438434754,0.511071801,0.427311992,0
0.655562133,0.420189299,0.337360902,0.5772243,0.543763551,0.429320334,0.30706033,0.500502395,0.313626392,0
0.305051157,0.433112707,0.395432432,0.551037976,0.477818459,0.293840258,0.43212745,0.435956252,0.437494026,0
0.524917465,0.637787602,0.183858033,0.668302049,0.579703927,0.546768965,0.610933879,0.592052068,0.648681255,0
0.609012134,0.464942168,0.189080433,0.558255095,0.509610511,0.511938777,0.752717098,0.418897966,0.686900008,0
0.50262515,0.441107894,0.588311976,0.624531421,0.568245164,0.715674894,0.593682543,0.830851865,0.481371486,0
0.186573994,0.512790091,0.566071759,0.504457077,0.579703927,0.501166511,0.420335755,0.395789213,0.626811376,0
0.606469397,0.568357618,0.37219255,0.619866375,0.652917921,0.443321175,0.570277611,0.500427034,0.458604047,0
0.50262515,0.602519958,0.364802754,0.517041423,0.582452666,0.492980192,0.361035217,0.558792244,0.368423631,0
0.632742967,0.751510812,0.152748812,0.595069716,0.623264479,0.284719917,0.219749723,0.627691826,0.770604337,0
0.435582609,0.517112742,0.450790467,0.476798268,0.621907227,0.112573017,0.476508899,0.589692139,0.477852593,0
0.601426477,0.501599571,0.212080801,0.285421984,0.508883652,0.493414617,0.575079121,0.3897804,0.475038441,0
0.663296787,0.635598971,0.196865266,0.54308149,0.577334286,0.301221781,0.458688221,0.534507676,0.716578157,0
0.562563938,0.648741305,0.203416007,0.544119498,0.617569132,0.461460702,0.148025361,0.506157973,0.527243185,0
0.551809493,0.742979452,0.593646686,0.62894411,0.845220711,0.276165296,0.585664531,0.484706436,0.430107148,0
0.242006472,0.597031994,0.326882411,0.64327057,0.625388737,0.301524001,0.613346348,0.662409128,0.254982217,0
0.481807623,0.620230681,0.353837166,0.533347099,0.579703927,0.334988857,0.560406876,0.595058331,0.463670371,0
0.50262515,0.518665389,0.455481954,0.725099572,0.648314897,0.143895923,0.43085154,0.538021113,0.790133416,0
0.513130409,0.777747631,0.226249779,0.677612148,0.652570187,0.190501697,0.572793377,0.659466144,0.595039802,0
0.72228405,0.700056948,0.246450229,0.394571529,0.661598447,0.387434854,0.533759551,0.489795284,0.373560832,0
0.528386664,0.272438228,0.140119791,0.511678195,0.319879916,0.539237677,0.427812498,0.534507676,0.321262528,0
0.558057456,0.541009119,0.693359004,0.546586899,0.579703927,0.456514773,0.477659664,0.534507676,0.899006685,0
0.491246924,0.324446171,0.44515371,0.5275555,0.506765795,0.281035413,0.620837005,0.652718698,0.449546242,0
0.50262515,0.361048725,0.263462532,0.574171208,0.579703927,0.502678682,0.628405392,0.396099113,0.607742545,0
0.50262515,0.665153441,0.444910611,0.531076195,0.682639461,0.162936781,0.282704391,0.581192166,0.519492382,0
0.537217977,0.796641351,0.435824396,0.790407069,0.579703927,0.566967896,0.537844666,0.456748878,0.270520958,0
0.610776819,0.666746902,0.469532696,0.584777181,0.682509401,0.438572401,0.53893857,0.587459755,0.439192022,0
0.736319833,0.615860259,0.448760038,0.670079557,0.683267811,0.352303274,0.167831477,0.477341272,0.346961061,0
0.50262515,0.744448403,0.476925274,0.747878405,0.866266101,0.496158902,0.422261825,0.67709924,0.681175414,0
0.526506077,0.581390916,0.403782751,0.725192206,0.662726911,0.317709133,0.35795639,0.543417309,0.560141716,0
0.798621047,0.656054076,0.267287006,0.449471666,0.579703927,0.564067123,0.491764249,0.892418582,0.446179175,0
0.464749126,0.561691808,0.275277715,0.457924287,0.56149194,0.525108901,0.54924084,0.368870762,0.396818981,0
0.474566841,0.378892388,0.173845072,0.265958916,0.317974371,0.448406533,0.500564841,0.514886694,0.446767428,0
0.359555285,0.391340617,0.5689213,0.529900387,0.542894493,0.558098495,0.617337109,0.50668743,0.339373885,0
0.493757683,0.392860494,0.289826336,0.357283958,0.417316592,0.451447573,0.619950649,0.444333764,0.219748337,0
0.569831142,0.719872649,0.522920468,0.726703412,0.768635233,0.510927987,0.365070429,0.187235481,0.39745311,0
